date,region,revenue
2026-06-01,Southeast,50697.13
2026-06-01,Northeast,38100.04
2026-06-01,Midwest,29325.09
2026-06-01,West,43754.45
2026-06-02,Southeast,51182.36
2026-06-02,Northeast,40706.8
2026-06-02,Midwest,31176.54
2026-06-02,West,43141.22
2026-06-03,Southeast,49609.61
2026-06-03,Northeast,38119.19
2026-06-03,Midwest,29155.91
2026-06-03,West,45024.1
2026-06-04,Southeast,47632.68
2026-06-04,Northeast,38795.35
2026-06-04,Midwest,30449.65
2026-06-04,West,45202.24
2026-06-05,Southeast,48602.2
2026-06-05,Northeast,40357.06
2026-06-05,Midwest,30928.29
2026-06-05,West,42779.24
2026-06-06,Southeast,51529.1
2026-06-06,Northeast,40792.56
2026-06-06,Midwest,29520.75
2026-06-06,West,43449.66
2026-06-07,Southeast,52286.07
2026-06-07,Northeast,39346.38
2026-06-07,Midwest,28778.24
2026-06-07,West,43185.22
2026-06-08,Southeast,51737.47
2026-06-08,Northeast,40414.9
2026-06-08,Midwest,30921.38
2026-06-08,West,46033.79
2026-06-09,Southeast,50181.14
2026-06-09,Northeast,41892.46
2026-06-09,Midwest,29635.6
2026-06-09,West,45234.18
2026-06-10,Southeast,51647.02
2026-06-10,Northeast,40474.08
2026-06-10,Midwest,31085.12
2026-06-10,West,45348.08
2026-06-11,Southeast,51022.86
2026-06-11,Northeast,38183.3
2026-06-11,Midwest,29183.69
2026-06-11,West,44052.25
2026-06-12,Southeast,47898.96
2026-06-12,Northeast,38931.16
2026-06-12,Midwest,28803.0
2026-06-12,West,44000.88
2026-06-13,Southeast,50678.42
2026-06-13,Northeast,39459.33
2026-06-13,Midwest,29610.54
2026-06-13,West,43692.78
2026-06-14,Southeast,48834.89
2026-06-14,Northeast,41746.62
2026-06-14,Midwest,30444.11
2026-06-14,West,45491.09
2026-06-15,Southeast,48355.69
2026-06-15,Northeast,40916.51
2026-06-15,Midwest,28990.21
2026-06-15,West,44457.55
2026-06-16,Southeast,52447.62
2026-06-16,Northeast,40560.0
2026-06-16,Midwest,30170.85
2026-06-16,West,45830.76
2026-06-17,Southeast,51714.26
2026-06-17,Northeast,41104.0
2026-06-17,Midwest,29187.14
2026-06-17,West,42894.45
2026-06-18,Southeast,49077.27
2026-06-18,Northeast,39070.96
2026-06-18,Midwest,29132.95
2026-06-18,West,46993.09
2026-06-19,Southeast,51881.84
2026-06-19,Northeast,39258.71
2026-06-19,Midwest,30466.32
2026-06-19,West,44530.34
2026-06-20,Southeast,52072.74
2026-06-20,Northeast,39835.41
2026-06-20,Midwest,29294.64
2026-06-20,West,43859.82
2026-06-21,Southeast,50306.84
2026-06-21,Northeast,39050.97
2026-06-21,Midwest,30253.76
2026-06-21,West,46790.2
2026-06-22,Southeast,49497.0
2026-06-22,Northeast,38877.28
2026-06-22,Midwest,31492.61
2026-06-22,West,45042.87
2026-06-23,Southeast,47954.55
