ticket_id,customer_id,region,created_at,category,priority,status,description
TKT-1001,USR-55309,Southeast,2026-06-01 08:02:00,Login Issue,High,Open,Customer inquiry regarding login issue issue.
TKT-1002,USR-77033,Southeast,2026-06-01 23:50:00,Billing,Medium,Solved,Customer inquiry regarding billing issue.
TKT-1003,USR-15817,Southeast,2026-06-01 03:24:00,Refund Request,Low,Closed,Customer inquiry regarding refund request issue.
TKT-1004,USR-97900,Southeast,2026-06-01 22:27:00,Login Issue,High,Solved,Customer inquiry regarding login issue issue.
TKT-1005,USR-91678,Southeast,2026-06-01 06:23:00,Shipping,Low,Closed,Customer inquiry regarding shipping issue.
TKT-1006,USR-76469,Southeast,2026-06-01 10:42:00,Login Issue,High,Closed,Customer inquiry regarding login issue issue.
TKT-1007,USR-48752,Southeast,2026-06-01 09:42:00,Shipping,Medium,Open,Customer inquiry regarding shipping issue.
TKT-1008,USR-98777,Southeast,2026-06-01 17:08:00,Product Question,Medium,Open,Customer inquiry regarding product question issue.
TKT-1009,USR-49446,Southeast,2026-06-01 23:57:00,Product Question,High,Solved,Customer inquiry regarding product question issue.
TKT-1010,USR-37549,Southeast,2026-06-01 12:35:00,Login Issue,Medium,Closed,Customer inquiry regarding login issue issue.
TKT-1011,USR-70946,Southeast,2026-06-01 13:50:00,Refund Request,High,Closed,Customer inquiry regarding refund request issue.
TKT-1012,USR-72021,Southeast,2026-06-01 14:28:00,Bug Report,Low,Solved,Customer inquiry regarding bug report issue.
TKT-1013,USR-77561,Southeast,2026-06-01 23:10:00,Bug Report,Low,Closed,Customer inquiry regarding bug report issue.
TKT-1014,USR-40784,Southeast,2026-06-01 21:40:00,Refund Request,Medium,Closed,Customer inquiry regarding refund request issue.
TKT-1015,USR-13201,Southeast,2026-06-01 21:19:00,Product Question,Low,Closed,Customer inquiry regarding product question issue.
TKT-1016,USR-69692,Southeast,2026-06-01 01:15:00,Shipping,High,Closed,Customer inquiry regarding shipping issue.
TKT-1017,USR-60328,Southeast,2026-06-01 13:56:00,Bug Report,High,Closed,Customer inquiry regarding bug report issue.
TKT-1018,USR-23970,Southeast,2026-06-01 15:25:00,Product Question,Low,Closed,Customer inquiry regarding product question issue.
TKT-1019,USR-70889,Northeast,2026-06-01 13:14:00,Product Question,High,Solved,Customer inquiry regarding product question issue.
TKT-1020,USR-27477,Northeast,2026-06-01 01:35:00,Product Question,Low,Open,Customer inquiry regarding product question issue.
TKT-1021,USR-51588,Northeast,2026-06-01 14:42:00,Refund Request,High,Solved,Customer inquiry regarding refund request issue.
TKT-1022,USR-81810,Northeast,2026-06-01 14:39:00,Bug Report,High,Open,Customer inquiry regarding bug report issue.
TKT-1023,USR-68991,Northeast,2026-06-01 14:57:00,Product Question,High,Open,Customer inquiry regarding product question issue.
